fish.id,Strain,Sex,day,camera,distance.from.bottom(cm),distance.from.center(cm),distance.travelled(cm),percent.explored,boldness.index,NE(ng/mg),DOPAC(ng/mg),DA(ng/mg),5HIAA(ng/mg),5HT(ng/mg),5HIAA:5HT,DOPAC:DA
22-415A,WIK,F,01,c5,6.389231835,6.547482072,19.31530648,58.3,-0.635264407,0.757382991,0.100631854,0.31112115,0.032787201,0.281485813,0.116479053,0.323449094
22-415A,WIK,F,02,c5,5.127177903,5.757589566,18.21006066,61.2,-1.338235113,0.757382991,0.100631854,0.31112115,0.032787201,0.281485813,0.116479053,0.323449094
22-415A,WIK,F,03,c5,6.963920711,6.774100107,20.56682603,60.8,-0.226589236,0.757382991,0.100631854,0.31112115,0.032787201,0.281485813,0.116479053,0.323449094
22-415C,WIK,M,01,c5,7.733092157,6.425343751,27.5323472,70.1,0.446329827,0.713714088,0.076313801,0.341156564,0.032109413,0.285876522,0.112319168,0.223691434
22-415C,WIK,M,02,c5,7.050986569,6.825624888,25.56615901,71.6,0.171081527,0.713714088,0.076313801,0.341156564,0.032109413,0.285876522,0.112319168,0.223691434
22-415C,WIK,M,03,c5,7.132205218,7.551026699,32.77181741,62.1,-0.230459095,0.713714088,0.076313801,0.341156564,0.032109413,0.285876522,0.112319168,0.223691434
22-416A,WIK,M,01,c5,5.799928186,6.857526229,28.71766467,73.1,-0.307769128,0.756143623,0.079145233,0.364163301,0.055292598,0.355731836,0.15543337,0.217334456
22-416A,WIK,M,02,c5,5.483633593,5.934856892,22.27446821,73.6,-0.523578231,0.756143623,0.079145233,0.364163301,0.055292598,0.355731836,0.15543337,0.217334456
22-416A,WIK,M,03,c5,6.450664405,7.209463219,27.37477987,67,-0.207062704,0.756143623,0.079145233,0.364163301,0.055292598,0.355731836,0.15543337,0.217334456
22-416B,WIK,F,01,c6,8.701607947,4.142302323,14.14718013,56,0.344933748,1.076959514,0.246036678,0.42091001,0.026880454,0.332199664,0.08091656,0.584535108
22-416B,WIK,F,02,c6,7.274267561,6.668526106,20.5933284,58.7,-0.409510949,1.076959514,0.246036678,0.42091001,0.026880454,0.332199664,0.08091656,0.584535108
22-416B,WIK,F,03,c6,7.349140468,7.123418268,18.8525476,56.5,-0.308811768,1.076959514,0.246036678,0.42091001,0.026880454,0.332199664,0.08091656,0.584535108
22-417A,WIK,F,01,c5,7.129406428,5.814636845,28.69193819,78.9,0.888336068,0.837842557,0.193880089,0.339449883,0.039573336,0.398763861,0.099240026,0.571159687
22-417A,WIK,F,02,c5,8.137734831,5.911546652,22.52177929,70.3,0.77774,0.837842557,0.193880089,0.339449883,0.039573336,0.398763861,0.099240026,0.571159687
22-417A,WIK,F,03,c5,7.988077398,7.263524685,28.90034185,67.4,0.705574776,0.837842557,0.193880089,0.339449883,0.039573336,0.398763861,0.099240026,0.571159687
22-417B,WIK,M,01,c6,6.36341517,6.321836403,32.27999109,83.2,0.637915383,0.711278681,0.142578224,0.332386629,0.034063027,0.282735586,0.120476617,0.428952947
22-417B,WIK,M,02,c6,5.982647496,6.545146861,30.94031899,79.5,0.39474251,0.711278681,0.142578224,0.332386629,0.034063027,0.282735586,0.120476617,0.428952947
22-417B,WIK,M,03,c6,6.613680056,6.735965052,28.1245372,74.9,0.580346156,0.711278681,0.142578224,0.332386629,0.034063027,0.282735586,0.120476617,0.428952947
22-417C,WIK,M,01,c5,6.586146895,7.025837404,32.49592531,72.6,0.046552503,0.784536963,0.124334753,0.383519971,0.052806609,0.467253875,0.113014812,0.324193686
22-417C,WIK,M,02,c5,8.007564997,5.360247971,24.34047129,75.8,1.173160496,0.784536963,0.124334753,0.383519971,0.052806609,0.467253875,0.113014812,0.324193686
22-417C,WIK,M,03,c5,6.490719526,5.798598091,25.70365909,77.2,0.708339773,0.784536963,0.124334753,0.383519971,0.052806609,0.467253875,0.113014812,0.324193686
22-417D,WIK,F,01,c6,5.566710597,4.801311396,25.08465957,72.8,-0.208108873,0.503702271,0.090837545,0.235184493,0.023336679,0.227751123,0.102465703,0.386239517
22-417D,WIK,F,02,c6,6.806097233,5.22203105,23.81437921,71.4,0.172656251,0.503702271,0.090837545,0.235184493,0.023336679,0.227751123,0.102465703,0.386239517
22-417D,WIK,F,03,c6,7.675700456,6.30441478,29.73427618,72,0.843285037,0.503702271,0.090837545,0.235184493,0.023336679,0.227751123,0.102465703,0.386239517
22-418A,WIK,M,01,c5,5.516784368,5.50959802,25.72571329,77.9,-0.129798875,0.885982727,0.189713558,0.381874897,0.046075124,0.324057496,0.142181942,0.496795049
22-418A,WIK,M,02,c5,5.856838831,5.422696847,22.1918129,76.5,0.001907596,0.885982727,0.189713558,0.381874897,0.046075124,0.324057496,0.142181942,0.496795049
22-418A,WIK,M,03,c5,5.764042902,5.606369312,19.61705928,73.3,-0.064307806,0.885982727,0.189713558,0.381874897,0.046075124,0.324057496,0.142181942,0.496795049
22-418B,WIK,F,01,c6,6.361220954,5.629426508,18.73626243,65.3,-0.251790605,0.706144312,0.07847672,0.306575597,0.046425436,0.303497435,0.152968133,0.255978365
22-418B,WIK,F,02,c6,7.825304331,4.399566507,16.69250854,64.6,0.251142449,0.706144312,0.07847672,0.306575597,0.046425436,0.303497435,0.152968133,0.255978365
22-418B,WIK,F,03,c6,6.541842162,5.634683002,20.6152665,73.6,0.379692227,0.706144312,0.07847672,0.306575597,0.046425436,0.303497435,0.152968133,0.255978365
22-418C,WIK,F,01,c5,4.105540803,6.135042515,24.01993262,67.7,-1.199087722,0.481564121,0.06924713,0.225133152,0.009559493,0.225792314,0.042337548,0.307582999
22-418C,WIK,F,02,c5,6.333867798,6.079712951,27.06172592,76.8,0.281501316,0.481564121,0.06924713,0.225133152,0.009559493,0.225792314,0.042337548,0.307582999
22-418C,WIK,F,03,c5,6.413458181,7.097707131,33.84940133,68.8,0.009315527,0.481564121,0.06924713,0.225133152,0.009559493,0.225792314,0.042337548,0.307582999
22-419B,WIK,M,01,c5,7.548294468,6.785647921,40.13644699,73.5,0.58015874,0.820979526,0.149167312,0.339330944,0.036580121,0.303124008,0.120677083,0.439592423
22-419B,WIK,M,02,c5,5.247050821,5.992770728,31.34068853,72.5,-0.777946482,0.820979526,0.149167312,0.339330944,0.036580121,0.303124008,0.120677083,0.439592423
22-419B,WIK,M,03,c5,6.191056481,7.132575094,32.46029854,70.9,-0.020395785,0.820979526,0.149167312,0.339330944,0.036580121,0.303124008,0.120677083,0.439592423
22-419C,WIK,M,01,c5,5.235640151,4.325491575,35.18925216,61.3,-1.366290394,0.743242747,0.106527582,0.352537985,0.053146495,NA,NA,0.302173345
22-419C,WIK,M,02,c5,6.157052949,5.217144092,35.70941591,71.8,-0.325441122,0.743242747,0.106527582,0.352537985,0.053146495,NA,NA,0.302173345
22-419C,WIK,M,03,c5,6.06680895,6.038168221,35.0999243,75.8,0.334104936,0.743242747,0.106527582,0.352537985,0.053146495,NA,NA,0.302173345
22-448A,WIK,F,01,c5,3.540291977,4.987096858,40.4295395,68.8,-1.408198263,0.821790742,0.125192508,0.298003578,0.038788384,0.261938039,0.148082288,0.420104043
22-448A,WIK,F,02,c5,0.166961273,6.025098561,6.055785699,0.2,-7.794560439,0.821790742,0.125192508,0.298003578,0.038788384,0.261938039,0.148082288,0.420104043
22-448A,WIK,F,03,c5,0.797405409,3.612157772,8.423982655,14.6,-6.251532749,0.821790742,0.125192508,0.298003578,0.038788384,0.261938039,0.148082288,0.420104043
22-448B,WIK,M,01,c5,3.869063257,5.681334158,31.71081082,74.2,-1.18640581,0.74521121,0.136414903,0.404697615,0.05128785,0.320996056,0.159777197,0.337078594
22-448B,WIK,M,02,c5,3.559239284,5.613162921,25.23541341,63.2,-2.747548888,0.74521121,0.136414903,0.404697615,0.05128785,0.320996056,0.159777197,0.337078594
22-448B,WIK,M,03,c5,4.194989556,5.530992299,25.149415,63.8,-1.826944554,0.74521121,0.136414903,0.404697615,0.05128785,0.320996056,0.159777197,0.337078594
22-448C,WIK,M,01,c5,10.13304421,2.86786437,23.19727035,30.1,-1.016839392,0.718740122,0.14168319,0.411113776,0.059552442,0.364878118,0.163211876,0.344632553
22-448C,WIK,M,02,c5,5.878654827,5.56196021,26.97050129,80.7,0.462481623,0.718740122,0.14168319,0.411113776,0.059552442,0.364878118,0.163211876,0.344632553
22-448C,WIK,M,03,c5,5.670850096,5.44740477,23.30149991,74.9,0.020183144,0.718740122,0.14168319,0.411113776,0.059552442,0.364878118,0.163211876,0.344632553
22-449A,WIK,M,01,c5,8.304365922,6.816746833,40.49690221,81.1,1.455379258,0.994884387,0.174434734,0.410342533,0.07645115,0.393364026,0.194352165,0.425095426
