fish.id,Strain,Sex,day,Treatment,camera,distance.from.bottom(cm),distance.from.center(cm),distance.travelled(cm),percent.explored,boldness.index,Ate_day_3,bold.median
23-252A,WIK,Female,01,Escitalopram,c3,6.478279025,7.108179152,27.67586454,61.1,1.285597409,Y,bold
23-252A,WIK,Female,02,Escitalopram,c3,7.444824739,6.392775134,18.79035524,62.1,1.285597409,Y,bold
23-252B,WIK,Male,01,Vehicle,c4,4.913148696,7.06767059,23.35625329,59.7,-0.980399905,Y,shy
23-252B,WIK,Male,02,Vehicle,c4,6.096809724,6.888961975,19.7115276,62.5,-0.980399905,Y,shy
23-253A,WIK,Male,01,Escitalopram,c3,4.322706626,6.41766814,23.53739193,68.3,-0.374933108,Y,shy
23-253A,WIK,Male,02,Escitalopram,c3,6.889118528,5.817199247,19.73769922,65.3,-0.374933108,Y,shy
23-253B,WIK,Female,01,Vehicle,c4,4.693156494,7.260513703,17.88250892,47.9,-1.351216518,Y,shy
23-253B,WIK,Female,02,Vehicle,c4,7.557856241,6.797476179,19.62513739,55.1,-1.351216518,Y,shy
23-253C,WIK,Female,01,Escitalopram,c5,11.50458559,4.208386541,16.17079703,28.8,0.266175728,Y,bold
23-253C,WIK,Female,02,Escitalopram,c5,9.872487992,6.215646369,15.45709213,52.2,0.266175728,Y,bold
23-253D,WIK,Male,01,Vehicle,c6,5.118237234,6.613791041,26.10094462,65.3,-0.166912667,Y,shy
23-253D,WIK,Male,02,Vehicle,c6,6.786834328,7.108152846,32.61698876,69.4,-0.166912667,Y,shy
23-254A,WIK,Female,01,Vehicle,c3,3.996180494,6.938267521,22.2588034,57.3,-0.611689618,Y,shy
23-254A,WIK,Female,02,Vehicle,c3,6.265967833,6.956860979,20.75701985,51.6,-0.611689618,Y,shy
23-254B,WIK,Male,01,Escitalopram,c4,6.249932228,7.321431266,27.61758675,63.7,0.447062569,Y,bold
23-254B,WIK,Male,02,Escitalopram,c4,7.586157507,6.956287604,16.7774343,55.9,0.447062569,Y,bold
23-254C,WIK,Male,01,Vehicle,c5,7.568978797,8.015548579,32.71104274,53.7,0.19278357,Y,bold
23-254C,WIK,Male,02,Vehicle,c5,7.46985264,7.911334962,27.88238113,57.1,0.19278357,Y,bold
23-254D,WIK,Female,01,Escitalopram,c6,8.351873807,6.813766342,23.73103998,60.4,2.284005729,Y,bold
23-254D,WIK,Female,02,Escitalopram,c6,8.849154802,6.325756177,17.67356437,54.3,2.284005729,Y,bold
23-290A,WIK,Male,01,Vehicle,c3,5.657045716,7.356635575,28.32164785,59.7,-0.451424909,Y,shy
23-290A,WIK,Male,02,Vehicle,c3,5.569658802,7.72299142,30.57126219,51.9,-0.451424909,Y,shy
23-290C,WIK,Female,01,Vehicle,c5,4.935260535,7.687178319,33.17772495,58.6,0.089394924,Y,bold
23-290C,WIK,Female,02,Vehicle,c5,6.086976312,6.785765613,23.48602463,63.7,0.089394924,Y,bold
23-290D,WIK,Male,01,Escitalopram,c6,5.139998587,7.676073353,34.36062915,65.1,-0.175283165,Y,shy
23-290D,WIK,Male,02,Escitalopram,c6,7.088551229,7.384951349,26.15790936,58.8,-0.175283165,Y,shy
23-291A,WIK,Female,01,Vehicle,c3,6.061123155,6.803779825,27.22702107,67,1.761512486,Y,bold
23-291A,WIK,Female,02,Vehicle,c3,7.136925544,6.1245652,25.12423815,68.6,1.761512486,Y,bold
23-291C,WIK,Male,01,Vehicle,c5,6.508316559,6.105415778,29.60514359,79,2.45491564,Y,bold
23-291C,WIK,Male,02,Vehicle,c5,6.549209506,7.226452205,27.91139261,70.1,2.45491564,Y,bold
23-292A,WIK,Male,01,Escitalopram,c3,6.755199338,7.722703493,37.46147459,49.5,-0.886622561,Y,shy
23-292A,WIK,Male,02,Escitalopram,c3,6.647843233,7.281684861,28.48371502,59.3,-0.886622561,Y,shy
23-292B,WIK,Female,01,Vehicle,c4,2.973982256,7.451235959,20.70538819,48.9,-2.223858363,Y,shy
